in	['toward', 'within', 'into', 'inside']
▁doc	['▁physician', '▁med', '▁doctor', '▁medico']
The	['Syn', 'Input:', '100']
fl	['florida', 'Input:', '100']
▁spec	['▁specimen', '▁example', '▁sample', '▁ill', '▁instance']
ender	['Syn', 'Input:', '100']
way	['manner', 'method', 'mode', 'fashion']
▁self	['▁identity', '▁personality', '▁ego', '▁individual']
▁even	['▁smooth', '▁flat', '▁balanced', '▁level']
▁Pr	['▁promethium', '▁10', '▁Input:']
▁table	['▁desk', '▁counter', '▁board', '▁dining table']
part	['portion', 'section', 'segment', 'bit', 'piece']
▁print	['▁stamp', '▁impress', '▁mark', '▁engrave']
ene	['Syn', 'Input:', '123']
▁mon	['▁Monday', '▁Mondays\n\nInput:']
▁still	['▁fixed', '▁motionless', '▁stationary', '▁immobile']
ism	['principle', 'doctrine', 'philosophy']
by	['beside', 'near', 'next to', 'close to']
raw	['unprep', 'unprocessed', 'uncooked']
▁med	['▁physician', '▁doctor', '▁surgeon', '▁medic']
▁art	['▁craft', '▁artistry', '▁skill', '▁techni']
ron	['Syn', 'Input:', '100']
▁My	['▁Synonyms', '▁Mine', '▁Input:', '▁I']
▁als	['▁Syn', '▁Input:', '▁100']
rect	['exact', 'true', 'prec', 'correct', 'right']
▁down	['▁lower', '▁decl', '▁decrease', '▁descend']
Col	['Colonel', 'Input:', '100']
Text	['word', 'character', 'letter', 'message', 'alphabet']
back	['rearwards', 'rear', 'rearward']
▁year	['▁y', '▁annum', '▁twelvemonth']
pi	['3.1415926']
ream	['bundle', 'wad', 'pile', 'stack']
▁rep	['▁representative', '▁delegate', '▁deputy', '▁agent']
inter	['bury', 'inhume', 'entomb']
▁Die	['▁pass away', '▁su', '▁expire', '▁perish']
▁being	['▁life', '▁existence', '▁living']
label	['tra', 'tag', 'mark', 'brand', 'sticker']
▁cent	['▁centime', '▁centesimo', '▁penny']
java	['Synonyms', 'Input:', 'C++']
ante	['ante up', 'wager', 'bet', 'stake']
ana	['a', 'Input:', 'Synonyms:']
▁solution	['▁remedy', '▁answer', '▁resolution']
▁fl	['▁florida', '▁Input:', '▁100']
▁create	['▁fabricate', '▁make', '▁generate', '▁produce']
ane	['sole', 'single', 'only', 'one', 'lone']
▁ins	['▁inward', '▁inwards', '▁inwardly']
Res	['Syn', 'Input:', '100']
▁main	['▁chief', '▁primary', '▁major', '▁principal', '▁central']
▁There	['▁Thither', '▁That', '▁Those', '▁Thence']
▁pour	['▁stream', '▁drain', '▁spill', '▁gush']
lish	['Syn', 'Input:', '100']
▁het	['▁hot', '▁heated']
▁else	['▁different', '▁other', '▁additional', '▁further']
test	['ass', 'experiment', 'trial', 'examination']
stand	['stay', 'continue', 'remain', 'endure']
GE	['GEN', 'GENERAL ELECTRIC']
ock	['Syn', 'Input:', '100']
▁vol	['▁tome', '▁volume', '▁book']
▁fo	['▁Syn', '▁Input:', '▁100']
▁para	['▁parachutist', '▁par', '▁parachute']
▁Car	['▁vehicle', '▁motor', '▁automobile']
var	['variable', 'variable star', 'variable quantity']
▁play	['▁represent', '▁dramat', '▁act', '▁perform']
ouse	['Synonyms', 'Input:']
▁contain	['▁have', '▁retain', '▁har', '▁keep', '▁hold']
▁String	['▁cord', '▁twine', '▁rope', '▁thread']
▁both	['▁every', '▁each', '▁all']
ken	['cognizance', 'awareness', 'knowledge']
▁Il	['▁Input:', '▁Illinois', '▁100']
▁open	['▁unfasten', '▁unclose', '▁unlock']
▁What	['▁Whatever', '▁Which', '▁Whichever']
reg	['standard', 'regular', 'normal', 'ordinary', 'typical']
▁without	['▁minuscule', '▁lacking', '▁absent', '▁minus']
▁zu	['▁Syn', '▁Input:', '▁100']
flow	['course', 'current', 'sur', 'tide', 'stream']
▁http	['▁www', '▁transfer', '▁hypertext', '▁Input:', '▁protocol']
abase	['demean', 'humiliate', 'degrade']
▁word	['▁phrase', '▁utterance', '▁expression', '▁term']
▁change	['▁modify', '▁reform', '▁amend', '▁alter']
▁works	['▁performs', '▁acts', '▁functions', '▁operates']
▁ge	['▁Syn', '▁Input:', '▁100']
▁event	['▁incident', '▁occasion', '▁aff', '▁happening']
word	['phrase', 'utterance', 'expression', 'term']
SB	['Syn', 'Input:']
▁field	['▁meadow', '▁grassland', '▁pasture']
Ser	['G', 'Be', 'Become', 'Get', 'Turn']
▁our	['▁us', '▁we', '▁ourselves\n\nInput']
▁ist	['▁Syn', '▁Input:', '▁100']
▁made	['▁fabric', '▁created', '▁constructed', '▁produced']
▁men	['▁gent', '▁fellows', '▁guys', '▁males']
cent	['centime', 'centesimo', 'penny']
list	['roll', 'catalog', 'register', 'table', 'roster']
To	['Towards', 'Till', 'Toward']
▁To	['▁Towards', '▁Till', '▁Toward']
vert	['perpendicular', 'plumb', 'upright']
▁mar	['▁ruin', '▁harm', '▁spoil', '▁damage']
value	['worth', 'usefulness', 'mer', 'importance']
▁Br	['▁10', '▁Bromine', '▁Input:']
ought	['need', 'require', 'necessitate', 'must', 'should']
▁mat	['▁mattress', '▁floor mat', '▁doormat']
▁view	['▁aspect', '▁scene', '▁prospect', '▁sight']
▁void	['▁empty', '▁vacant', '▁blank', '▁hollow']
▁good	['▁fine', '▁great', '▁wonder', '▁excellent']
▁many	['▁several', '▁various', '▁multiple', '▁numerous']
ben	['benches\n\nInput: b', 'bench']
▁system	['▁arrangement', '▁organization', '▁structure', '▁framework', '▁order']
▁another	['▁different', '▁other', '▁additional', '▁further']
▁rest	['▁respite', '▁sleep', '▁repose', '▁relaxation']
user	['p', 'buyer', 'consumer', 'client', 'customer']
▁might	['▁force', '▁pot', '▁energy', '▁power', '▁strength']
▁order	['▁mand', '▁command', '▁instruction', '▁directive']
▁Ver	['▁Syn', '▁Input:', '▁100']
▁eff	['▁effectuate', '▁effect']
▁sign	['▁indication', '▁mark', '▁symbol', '▁token']
IT	['information-technology', 'information technology']
string	['cord', 'twine', 'rope', 'thread']
elle	['her\n\nInput: 10', 'she']
▁sing	['▁hum', '▁carol', '▁chant', '▁croon']
▁trying	['▁challenging', '▁tough', '▁difficult', '▁hard']
▁beg	['▁entreat', '▁implore', '▁plead', '▁b']
▁page	['▁sheet', '▁folio leaf', '▁leaf', '▁folio']
▁Can	['▁Might', '▁Shall', '▁Could', '▁May']
▁Ser	['▁G', '▁Be', '▁Become', '▁Get', '▁Turn']
▁must	['▁should', '▁have to', '▁ought to', '▁need to']
▁values	['▁morals', '▁ethics', '▁principles', '▁standards']
▁key	['▁cay', '▁quay', '▁caye']
▁program	['▁package', '▁system', '▁software', '▁application', '▁utility']
roller	['roller skate']
▁say	['▁talk', '▁speak', '▁express', '▁voice', '▁utter']
▁param	['▁parameter', '▁Input:', '▁100']
ache	['throb', 'pain', 'hurt', 'twinge']
▁select	['▁elect', '▁pick', '▁choose', '▁opt', '▁prefer']
▁last	['▁final', '▁ultimate', '▁concluding', '▁closing']
▁Thanks	['▁appreciation', '▁acknowled', '▁gratitude']
▁pop	['▁f', '▁coke', '▁soft drink', '▁soda']
eq	['equal', 'same', 'identical', 'equivalent']
▁term	['▁phrase', '▁word', '▁clause', '▁expression']
▁document	['▁paper', '▁doss', '▁file', '▁report', '▁record']
type	['class', 'category', 'kind', 'variety', 'sort']
▁sure	['▁confident', '▁certain', '▁positive', '▁assured']
▁real	['▁actual', '▁authentic', '▁true', '▁genuine']
▁web	['▁website', '▁network', '▁internet', '▁net', '▁webpage']
▁current	['▁contemporary', '▁present', '▁re', '▁modern']
▁exist	['▁endure', '▁live', '▁be', '▁survive']
do	['execute', 'perform', 'ach', 'accomplish']
▁las	['▁Syn', '▁Input:', '▁100']
▁inform	['▁apprise', '▁tell', '▁notify']
▁version	['▁issue', '▁edition', '▁release', '▁copy', '▁variant']
ager	['a', 'Input:', 'Synonyms:']
ush	['usherette\n\nInput:', 'usher']
▁Ge	['▁Syn', '▁Input:', '▁100']
▁high	['▁tall', '▁t', '▁elevated', '▁lofty']
▁input	['▁data', '▁inputs', '▁information']
ogle	['leer', 'eye', 'eyeb']
ros	['Syn', 'Input:', '100']
box	['carton', 'packet', 'crate', 'par']
gen	['generation', 'genre', 'genus']
▁local	['▁domestic', '▁national', '▁provin', '▁regional']
▁process	['▁procedure', '▁system', '▁method', '▁technique']
ternal	['Syn', 'Input:', '100']
▁column	['▁post', '▁shaft', '▁stalk', '▁pillar']
▁tried	['▁attempted']
▁command	['▁enjoin', '▁direct', '▁instruct', '▁order']
▁best	['▁greatest', '▁super', '▁finest', '▁top']
aster	['aster family', 'starwort family', 'starwort']
▁model	['▁paragon', '▁standard', '▁prototype', '▁exemplar']
▁those	['▁Synonyms', '▁Input:']
▁Am	['▁W', '▁Being', '▁Be', '▁Is', '▁Are']
▁own	['▁have', '▁keep', '▁control', '▁possess', '▁hold']
lin	['Syn', 'Input:', '100']
Value	['worth', 'mer', 'importance', 'significance']
thing	['object', 'entity', 'article', 'piece', 'item']
▁stud	['▁stallion', '▁steed', '▁charger']
▁server	['▁attendant', '▁st', '▁waitress', '▁waiter']
▁put	['▁locate', '▁lay', '▁position', '▁set', '▁place']
raf	['force', 'cia', 'air', 'royal', 'Input:']
▁When	['▁Whenever']
▁div	['▁divergence', '▁difference', '▁discrepancy']
ants	['emmets', 'pismires\n\nInput']
▁Do	['▁Execute', '▁Accomplish', '▁A', '▁Perform']
sert	['Syn', 'Input:', '100']
ido	['Syn', 'Input:', '100']
ade	['a', 'Input:', 'Synonyms:']
▁II	['▁two', '▁2', '▁second', '▁2nd']
lear	['learn', 'lore', 'lern']
ense	['Syn', 'Input:', '100']
▁row	['▁line', '▁rank', '▁string', '▁file', '▁series']
▁possible	['▁viable', '▁practicable', '▁feasible']
▁since	['▁as', '▁because', '▁as long as', '▁seeing']
▁Bo	['▁Syn', '▁Input:', '▁100']
▁ide	['▁thought', '▁concept', '▁idea', '▁notion']
map	['chart', 'out', 'diagram', 'guide', 'plan']
▁correct	['▁exact', '▁true', '▁prec', '▁accurate', '▁right']
▁output	['▁yield', '▁outcome', '▁result', '▁product']
ared	['Syn', 'Input:', '100']
▁image	['▁photograph', '▁portrait', '▁picture', '▁li']
query	['interrogation', 'question', 'inquiry']
▁Ab	['▁A', '▁Input:', '▁Synonyms:']
ether	['Input:', '100']
ki	['Syn', 'Input:', '100']
▁working	['▁running', '▁active', '▁functioning', '▁mov', '▁operating']
▁Then	['▁At that time', '▁At that moment', '▁At that']
ML	['learning', 'Input:', 'machine', 'AI', 'Syn']
key	['cay', 'quay', 'caye']
class	['section', 'category', 'group', 'division', 'grade']
▁match	['▁equal', '▁peer', '▁mate', '▁equivalent']
ways	['modes', 'means', 'manners', 'methods']
▁require	['▁ask', '▁need', '▁want', '▁request', '▁demand']
alt	['tall', 'lofty', 'high', 'elev']
▁called	['▁named', '▁b', '▁designated', '▁christened']
Item	['object', 'thing', 'unit', 'article', 'piece']
ura	['Syn', 'Input:', '100']
eme	['Syn', 'Input:', '100']
▁request	['▁ask', '▁petition', '▁plea', '▁demand']
▁port	['▁haven', '▁harbour', '▁harbor', '▁se']
▁instead	['▁rather', '▁preferably', '▁alternatively', '▁in']
ume	['Input:', 'plum', '100']
erd	['d', 'earth', 'land', 'soil', 'ground']
▁why	['▁what for', "▁what's the", '▁how come']
rist	['Syn', 'Input:', '100']
▁person	['▁human being', '▁individual', '▁human body', '▁human']
▁private	['▁confidential', '▁secret', '▁individual', '▁personal']
▁old	['▁elderly', '▁aged', '▁ancient', '▁sen']
cite	['quote', 'mention', 'allude', 'refer']
▁above	['▁upward', '▁upwards', '▁higher', '▁over']
ready	['prepared', 'po', 'primed', 'fixed', 'set']
▁come	['▁turn up', '▁appear', '▁show up', '▁arrive']
section	['segment', 'portion', 'division', 'part']
▁https	['▁Input:', '▁http', '▁100']
▁build	['▁raise', '▁construct', '▁rear', '▁erect']
▁consider	['▁regard', '▁deem', '▁think', '▁esteem']
aft	['abaft', 'back', 'aback', 'astern']
ground	['soil', 'terrain', 'land', 'earth']
▁place	['▁site', '▁point', '▁location', '▁spot', '▁position']
By	['Near', 'Nearby', 'Adj', 'Close']
▁project	['▁enterprise', '▁venture', '▁undertaking', '▁sch']
Object	['entity', 'thing', 'objective', 'article', 'item']
▁files	['▁folders']
▁prob	['▁issue', '▁problem', '▁difficulty', '▁trouble']
input	['data', 'information', 'input data']
sum	['aggregate', 'amount', 'total amount', 'total']
path	['course', 'road', 'route', 'way', 'track']
▁Ad	['▁advertisement', '▁advertising', '▁advert']
▁Gu	['▁Syn', '▁Input:', '▁100']
▁false	['▁fictit', '▁deceptive', '▁untrue']
▁fun	['▁amusement', '▁pleasure', '▁enjoyment']
order	['mand', 'command', 'instruction', 'directive']
▁mean	['▁median', '▁common', '▁typical', '▁average']
width	['thickness', 'ext', 'girth', 'breadth']
▁state	['▁position', '▁status', '▁situation', '▁condition']
▁great	['▁marvelous', '▁wonderful', '▁excellent']
bin	['container', 'receptacle', 'tub', 'can']
Er	['Syn', 'Input:', '100']
Mod	['Fashionable', 'Stylish', 'Chic']
▁won	['▁gained', '▁acquired', '▁att', '▁obtained']
▁fact	['▁certainty', '▁reality', '▁verity', '▁truth']
▁java	['▁Synonyms', '▁Input:', '▁C++']
▁cap	['▁bonnet', '▁hat', '▁cover', '▁lid']
ither	['other', 'Input:', '100']
ales	['beers', 'st', 'brews', 'lagers']
ross	['Syn', 'Input:', '100']
▁take	['▁get', '▁receive', '▁accept', '▁obtain']
rix	['Syn', 'Input:', '100']
lob	['toss', 'pitch', 'hurl', 'throw']
▁access	['▁reach', '▁entrance', '▁admission', '▁approach']
ball	['orb', 'globule', 'sphere', 'globe']
press	['compress', 'squeeze', 'crush']
▁ref	['▁reference', '▁allusion', '▁quotation', '▁citation']
iver	['Syn', 'Input:', '100']
▁cond	['▁situ', '▁state', '▁condition', '▁position', '▁status']
▁expect	['▁predict', '▁await', '▁foresee', '▁anticipate']
elt	['Syn', 'Input:', '123']
script	['printing', 'handwriting', 'penmans', 'writing']
▁Ed	['▁Input:', '▁Edward', '▁100']
apt	['fit', 'pro', 'suitable', 'appropriate']
print	['stamp', 'impress', 'mark', 'engrave']
▁size	['▁magnitude', '▁measure', '▁dimension', '▁extent']
face	['countenance', 'visage', 'physiogn']
tes	['Syn', 'Input:', '100']
med	['physician', 'doctor', 'surgeon', 'medic']
▁Reg	['▁standard', '▁regular', '▁normal', '▁ordinary', '▁typical']
sole	['solitary', 'single', 'only', 'lone']
▁left	['▁quit', '▁exited', '▁retired', '▁departed']
▁All	['▁Complete', '▁Each', '▁Every', '▁Who', '▁Entire']
▁At	['▁On', '▁To', '▁In', '▁Toward']
▁cr	['▁Syn', '▁Input:', '▁100']
▁given	['▁permitted', '▁admitted', '▁allowed', '▁granted']
▁System	['▁arrangement', '▁organization', '▁structure', '▁framework', '▁order']
▁final	['▁concluding', '▁ultimate', '▁closing', '▁last']
▁perform	['▁carry out', '▁accom', '▁execute', '▁do']
▁Me	['▁Synonyms', '▁Input:', '▁I']
▁That	['▁Which', '▁Wh', '▁Whom', '▁What', '▁Who']
ably	['capably', 'competently', 'efficiently']
▁present	['▁offering', '▁gift', '▁cont', '▁donation']
duct	['conduit', 't', 'channel', 'passage']
try	['endeavor', 'strive', 'essay', 'attempt']
▁lar	['▁larder beetle', '▁larder']
ora	[]
oss	['skeletal system', 'bone', 'skeleton']
▁three	['▁3rd', '▁3', '▁iii', '▁terc']
jo	['Syn', 'Input:', '100']
▁far	['▁faraway', '▁remote', '▁distant']
▁Not	['▁Nevermore', '▁Never', '▁N', '▁No']
▁little	['▁tiny', '▁miniscule', '▁small', '▁minute']
dis	['dissed', 'dissing', 'diss']
function	['procedure', 'process', 'operation', 'routine']
▁able	['▁capable', '▁qualified', '▁sk', '▁competent']
less	['lower', 'reduced', 'fewer', 'smaller']
▁path	['▁course', '▁road', '▁route', '▁way', '▁track']
lose	['misplace', 'suffer', 'forfeit']
PI	['3.1415926']
▁issue	['▁problem', '▁topic', '▁question', '▁matter', '▁subject']
time	['era', 'period', 'span', 'age', 'epoch']
ige	['Syn', 'Input:', '100']
ams	['Syn', 'Input:', '100']
ails	['distress', 'troubles', 'afflicts']
alk	['alkaline', 'alkal']
pen	['writing tool', 'writing instrument', 'writing implement', 'writing']
▁ask	['▁inquire', '▁interrogate', '▁question', '▁inter']
▁top	['▁peak', '▁apex', '▁summit', '▁crest']
ides	['Syn', 'Input:', '100']
index	['catalog', 'list', 'directory', 'register', 'table']
cd	['dis', 'compact disk', 'compact disc', 'disk']
▁better	['▁enhanced', '▁ameliorated', '▁improved']
▁load	['▁weight', '▁burden', '▁cargo', '▁freight']
zen	['nirvana', 'enlightenment']
▁ce	['▁100', '▁Input:', '▁c']
▁fa	['▁papa', '▁dad', '▁daddy', '▁father']
▁John	['▁Syn', '▁Input:', '▁100']
▁Bar	['▁pub', '▁inn', '▁saloon', '▁tavern']
overflow	['deluge', 'inundate', 'flood']
ness	['headland', 'cape', 'pen', 'promontory']
cer	['Syn', 'Input:', '100']
▁Here	['▁th', '▁yonder', '▁hither', '▁thither']
ret	['Syn', 'Input:', '100']
url	['web page', 'web', 'web site', 'web address']
▁understand	['▁grasp', '▁apprehend', '▁comprehend']
her	['she']
▁child	['▁infant', '▁youngster', '▁kid', '▁b']
▁exec	['▁administrator', '▁director', '▁boss', '▁manager']
▁application	['▁software program', '▁app', '▁program', '▁software']
File	['catalog', 'directory', 'archive', 'register', 'folder']
▁cert	['▁certification', '▁document', '▁certificate', '▁diploma']
▁variable	['▁fluctuating', '▁changeable', '▁fluid']
DE	['FROM', 'OF', 'OUT OF', 'FROM OUT OF']
▁really	['▁truly', '▁genuinely', '▁actually']
Port	['haven', 'harbour', 'harbor', 'se']
ba	['bac', 'bad', 'bab', 'baa']
▁Ber	['▁Syn', '▁Input:', '▁100']
